accuracy,precision,recall,f1
94.7136563876652,85.71428571428571,35.294117647058826,50.0
92.07048458149781,84.21052631578947,51.61290322580645,64.0
93.83259911894272,100.0,53.333333333333336,69.56521739130434
94.27312775330397,90.9090909090909,45.45454545454545,60.60606060606061
93.83259911894272,92.3076923076923,48.0,63.1578947368421
91.62995594713657,90.9090909090909,35.714285714285715,51.282051282051285
92.07048458149781,81.25,46.42857142857143,59.09090909090909
94.7136563876652,75.0,37.5,50.0
96.47577092511013,90.0,56.25,69.23076923076923
94.27312775330397,83.33333333333334,60.0,69.76744186046511
92.95154185022027,87.5,50.0,63.63636363636363
89.86784140969164,68.42105263157895,43.333333333333336,53.06122448979592
95.59471365638767,90.0,69.23076923076923,78.26086956521739
94.27312775330397,80.0,64.0,71.11111111111111
90.7488986784141,87.5,42.42424242424242,57.142857142857146
92.95154185022027,87.5,31.818181818181817,46.666666666666664
90.30837004405286,92.3076923076923,36.36363636363637,52.17391304347826
94.7136563876652,92.85714285714286,54.166666666666664,68.42105263157895
92.95154185022027,87.5,50.0,63.63636363636363
91.62995594713657,72.22222222222221,48.148148148148145,57.77777777777778
93.3920704845815,90.9090909090909,41.66666666666667,57.142857142857146
93.83259911894272,92.3076923076923,48.0,63.1578947368421
93.3920704845815,85.71428571428571,48.0,61.53846153846154
92.95154185022027,71.42857142857143,45.45454545454545,55.55555555555556
93.83259911894272,73.33333333333333,52.38095238095239,61.111111111111114
91.18942731277532,90.0,32.142857142857146,47.36842105263158
94.7136563876652,83.33333333333334,31.25,45.45454545454545
93.3920704845815,81.81818181818183,40.909090909090914,54.54545454545455
93.83259911894272,81.25,54.166666666666664,65.0
90.7488986784141,78.57142857142857,37.93103448275862,51.16279069767442
