accuracy,precision,recall,f1
97.3568281938326,78.94736842105263,88.23529411764706,83.33333333333333
97.3568281938326,93.10344827586206,87.09677419354838,90.0
96.0352422907489,88.88888888888889,80.0,84.21052631578948
96.0352422907489,76.0,86.36363636363636,80.85106382978724
96.0352422907489,80.76923076923077,84.0,82.3529411764706
97.3568281938326,92.3076923076923,85.71428571428571,88.88888888888889
96.47577092511013,85.71428571428571,85.71428571428571,85.71428571428571
96.0352422907489,70.58823529411765,75.0,72.72727272727273
97.79735682819384,78.94736842105263,93.75,85.71428571428571
96.47577092511013,84.0,84.0,84.0
98.6784140969163,96.29629629629629,92.85714285714286,94.54545454545455
95.59471365638767,83.33333333333334,83.33333333333334,83.33333333333333
95.59471365638767,75.0,92.3076923076923,82.75862068965517
95.15418502202643,71.875,92.0,80.70175438596492
98.23788546255507,96.7741935483871,90.9090909090909,93.75
92.95154185022027,66.66666666666666,54.54545454545454,60.0
93.83259911894272,77.14285714285715,81.81818181818183,79.41176470588235
97.3568281938326,90.9090909090909,83.33333333333334,86.95652173913044
96.47577092511013,88.46153846153845,82.14285714285714,85.18518518518519
96.47577092511013,85.18518518518519,85.18518518518519,85.18518518518519
93.83259911894272,75.0,62.5,68.18181818181819
97.3568281938326,91.30434782608695,84.0,87.5
97.3568281938326,88.0,88.0,88.0
94.7136563876652,75.0,68.18181818181817,71.42857142857143
97.3568281938326,85.71428571428571,85.71428571428571,85.71428571428571
94.27312775330397,89.47368421052632,60.71428571428571,72.34042553191489
95.59471365638767,68.75,68.75,68.75
96.0352422907489,84.21052631578947,72.72727272727273,78.04878048780488
97.3568281938326,84.61538461538461,91.66666666666666,88.0
96.47577092511013,86.20689655172413,86.20689655172413,86.20689655172414
